customer_id,last_date,recency,frequence,amount,intereval
CS1238,2015-02-24,2558,26,1808,53
CS1239,2014-07-07,2790,11,771,95
CS1240,2015-03-13,2541,30,2126,45
CS1241,2015-02-16,2566,27,1818,52
CS1242,2015-01-16,2597,13,943,84
CS1243,2015-02-06,2576,17,1087,75
CS1244,2014-10-26,2679,21,1492,60
CS1245,2015-01-03,2610,19,1321,73
CS1246,2014-05-25,2833,20,1431,56
CS1247,2015-02-16,2566,28,1773,49
CS1248,2015-03-07,2547,17,1172,83
CS1249,2014-12-17,2627,23,1846,58
CS1250,2015-03-04,2550,24,1625,60
CS1251,2015-03-14,2540,14,1035,84
CS1252,2014-11-29,2645,18,1411,70
CS1253,2015-01-01,2612,17,1399,80
CS1254,2015-03-13,2541,21,1599,69
CS1255,2015-01-08,2605,29,1998,44
CS1256,2014-08-15,2751,19,1304,63
CS1257,2015-02-19,2563,15,1050,76
CS1258,2015-02-19,2563,22,1458,64
CS1259,2014-09-29,2706,22,1679,55
CS1260,2014-10-21,2684,26,1941,48
CS1261,2014-12-19,2625,26,1943,51
CS1262,2014-12-22,2622,16,1040,79
CS1263,2015-03-13,2541,14,1096,101
CS1264,2015-03-13,2541,12,959,120
CS1265,2015-01-24,2589,14,1128,91
CS1266,2015-02-05,2577,15,1076,88
CS1267,2014-11-26,2648,26,1812,50
CS1268,2015-01-10,2603,27,1946,49
CS1269,2015-01-07,2606,19,1272,70
CS1270,2015-02-17,2565,27,1990,52
CS1271,2015-02-09,2573,25,1683,53
CS1272,2015-02-27,2555,19,1279,75
CS1273,2015-02-17,2565,25,1800,53
CS1274,2015-03-11,2543,20,1381,72
CS1275,2015-03-16,2538,18,1321,69
CS1276,2015-02-17,2565,21,1505,68
CS1277,2014-12-18,2626,17,1142,80
CS1278,2014-11-27,2647,22,1572,60
CS1279,2015-01-28,2585,21,1411,66
CS1280,2015-03-03,2551,21,1262,69
CS1281,2015-03-04,2550,23,1715,62
CS1282,2014-11-04,2670,15,1014,79
CS1283,2015-02-25,2557,22,1683,62
CS1284,2015-03-11,2543,24,1836,56
CS1285,2015-02-19,2563,24,1778,59
CS1286,2015-01-07,2606,21,1511,64
CS1287,2014-09-07,2728,20,1440,61
CS1288,2014-07-08,2789,17,1125,70
CS1289,2015-03-13,2541,19,1355,73
CS1290,2014-12-10,2634,20,1625,65
CS1291,2015-03-16,2538,15,1006,86
CS1292,2015-02-23,2559,18,1307,71
CS1293,2015-01-01,2612,21,1625,65
CS1294,2015-02-10,2572,30,2129,46
CS1295,2015-03-13,2541,22,1487,64
CS1296,2015-03-04,2550,21,1505,68
CS1297,2015-01-11,2602,12,765,120
CS1298,2015-01-31,2582,21,1561,64
CS1299,2014-12-06,2638,21,1552,49
CS1300,2015-03-09,2545,18,1309,75
CS1301,2015-02-19,2563,19,1250,75
CS1302,2015-02-14,2568,19,1278,75
CS1303,2015-02-02,2580,22,1634,59
CS1304,2014-12-27,2617,15,874,88
CS1305,2014-12-01,2643,16,1031,77
CS1306,2015-03-12,2542,15,1153,81
CS1307,2015-01-02,2611,18,1220,69
CS1308,2015-02-26,2556,21,1487,64
CS1309,2015-01-11,2602,12,761,121
CS1310,2014-11-16,2658,15,1103,79
CS1311,2015-02-10,2572,18,1129,78
CS1312,2015-02-26,2556,16,1353,86
CS1313,2015-03-05,2549,29,2072,48
CS1314,2013-10-13,3057,13,891,58
CS1315,2015-01-01,2612,15,1030,69
CS1316,2015-02-15,2567,26,1726,54
CS1317,2015-02-26,2556,16,1146,67
CS1318,2015-02-28,2554,22,1693,63
CS1319,2014-12-18,2626,18,1161,69
CS1320,2015-03-04,2550,18,1382,77
CS1321,2015-03-16,2538,21,1668,63
CS1322,2015-03-11,2543,26,1964,51
CS1323,2014-11-11,2663,23,1595,57
CS1324,2014-08-20,2746,24,1611,43
CS1325,2014-08-25,2741,18,1209,69
CS1326,2015-02-20,2562,27,1940,52
CS1327,2015-03-02,2552,23,1525,53
CS1328,2014-08-10,2756,15,1043,78
CS1329,2014-11-14,2660,17,1158,76
CS1330,2015-02-17,2565,23,1750,57
CS1331,2015-03-06,2548,15,1170,97
CS1332,2014-11-06,2668,29,2010,44
CS1333,2015-01-29,2584,8,625,159
CS1334,2014-12-27,2617,25,1781,52
CS1335,2014-11-15,2659,17,1157,71
CS1336,2014-11-28,2646,24,1696,53
CS1337,2015-02-08,2574,22,1668,61
CS1338,2015-02-25,2557,18,1436,80
CS1339,2015-01-16,2597,23,1680,60
CS1340,2014-11-10,2664,20,1506,63
CS1341,2015-01-07,2606,13,1038,107
CS1342,2015-03-15,2539,16,1326,90
CS1343,2015-01-08,2605,21,1489,63
CS1344,2015-02-20,2562,25,1638,56
CS1345,2014-12-06,2638,18,1193,73
CS1346,2014-09-30,2705,15,1072,82
CS1347,2015-03-12,2542,30,2000,48
CS1348,2015-01-17,2596,22,1583,60
CS1349,2015-02-28,2554,16,1086,83
CS1350,2015-02-12,2570,27,1996,51
CS1351,2014-11-14,2660,21,1505,61
CS1352,2015-02-04,2578,20,1424,68
CS1353,2014-08-23,2743,19,1408,57
CS1354,2014-02-02,2945,16,1324,60
CS1355,2015-01-27,2586,23,1507,59
CS1356,2014-12-26,2618,24,1740,54
CS1357,2014-10-14,2691,26,1775,48
CS1358,2015-03-05,2549,19,1408,73
CS1359,2015-02-24,2558,16,1145,88
CS1360,2015-02-02,2580,18,1282,79
CS1361,2015-02-27,2555,19,1470,73
CS1362,2015-03-10,2544,23,1703,57
CS1363,2014-08-27,2739,24,1632,51
CS1364,2015-01-09,2604,27,1864,50
CS1365,2015-02-27,2555,19,1225,76
CS1366,2015-02-17,2565,22,1493,64
CS1367,2015-01-08,2605,29,2146,45
CS1368,2015-03-12,2542,15,960,96
CS1369,2015-01-29,2584,25,1746,55
CS1370,2014-10-26,2679,26,1864,44
CS1371,2014-10-08,2697,22,1496,59
CS1372,2014-06-11,2816,19,1412,60
CS1373,2014-12-21,2623,30,1967,43
CS1374,2014-10-03,2702,19,1357,67
CS1375,2014-11-09,2665,17,1165,72
CS1376,2015-02-10,2572,25,1512,51
CS1377,2014-10-24,2681,18,1505,71
CS1378,2015-02-19,2563,25,1671,51
CS1379,2014-10-31,2674,15,1134,89
CS1380,2015-02-28,2554,26,1857,51
CS1381,2014-02-20,2927,22,1449,47
CS1382,2015-03-12,2542,25,1845,53
CS1383,2014-11-21,2653,25,1878,53
CS1384,2015-03-04,2550,17,964,78
CS1385,2015-03-11,2543,22,1478,61
CS1386,2015-01-04,2609,14,998,91
CS1387,2014-11-09,2665,18,1238,74
CS1388,2015-02-14,2568,19,1275,72
CS1389,2015-02-25,2557,18,1189,81
CS1390,2015-01-31,2582,19,1210,72
CS1391,2015-03-12,2542,25,1584,58
CS1392,2015-01-01,2612,17,1227,80
CS1393,2014-12-07,2637,19,1437,70
CS1394,2015-03-11,2543,28,2046,50
CS1395,2015-03-02,2552,22,1704,65
CS1396,2015-02-13,2569,25,1852,56
CS1397,2014-10-01,2704,30,2156,41
CS1398,2015-02-15,2567,20,1354,66
CS1399,2015-02-21,2561,26,1832,48
CS1400,2014-12-30,2614,18,1193,75
CS1401,2015-03-02,2552,30,2023,40
CS1402,2015-02-14,2568,22,1660,64
CS1403,2015-02-01,2581,22,1652,56
CS1404,2015-01-25,2588,28,1900,49
CS1405,2015-02-25,2557,26,1943,52
CS1406,2015-03-02,2552,27,1842,53
CS1407,2015-03-03,2551,28,1916,46
CS1408,2014-07-18,2779,17,1214,64
CS1409,2014-12-20,2624,24,1464,52
CS1410,2015-01-16,2597,15,1160,92
CS1411,2015-01-19,2594,17,1222,82
CS1412,2015-03-01,2553,22,1599,65
CS1413,2015-01-16,2597,19,1396,72
CS1414,2014-10-14,2691,20,1437,64
CS1415,2015-01-01,2612,27,1752,49
CS1416,2015-03-04,2550,20,1513,70
CS1417,2015-01-25,2588,15,1076,92
CS1418,2014-10-17,2688,14,1053,84
CS1419,2015-03-16,2538,27,1915,50
CS1420,2014-12-25,2619,25,1923,53
CS1421,2015-01-16,2597,27,1896,51
CS1422,2015-03-11,2543,15,1211,85
CS1423,2015-01-20,2593,20,1182,67
CS1424,2015-03-06,2548,24,1753,58
CS1425,2015-01-04,2609,23,1688,56
CS1426,2015-02-23,2559,21,1538,66
CS1427,2015-03-09,2545,15,985,97
CS1428,2014-12-21,2623,25,1948,53
CS1429,2014-11-04,2670,18,1261,72
CS1430,2015-03-03,2551,21,1440,67
CS1431,2015-03-04,2550,18,1257,78
CS1432,2015-03-13,2541,19,1362,76
